ranking,World Rank,University,Det.,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
1,4,University of Oxford,,1,14,10,4
2,11,University of Cambridge,,102,18,6,10
3,21,University College London,,225,47,9,8
4,33,University of Edinburgh,,5,57,52,58
5,59,Imperial College London,,658,134,22,19
6,68,University of Manchester,,285,111,68,51
7,80,King's College London,,479,158,29,55
8,86,University of Glasgow,,3,107,545,125
9,97,University of Warwick,,32,114,259,162
10,109,University of Leeds,,553,108,172,144
11,122,Bristol University,,539,222,54,88
12,136,University of Nottingham,,738,157,216,118
13,151,University of Sheffield,,331,195,201,120
14,157,Newcastle University Newcastle upon Tyne,,571,140,238,180
15,164,University of Exeter,,137,194,97,218
16,167,Queen Mary University of London,,869,241,41,156
17,187,London School of Economics and Political Science,,516,91,168,452
18,195,University of York,,655,165,106,312
19,203,University of Liverpool,,329,331,341,152
20,225,Cardiff University,,1020,318,217,187
21,230,University of Saint Andrews,,35,220,284,378
22,239,University of Leicester,,845,204,202,332
23,250,University of Southampton,,1756,258,2341,104
24,252,Durham University,,464,208,875,247
25,266,University of Sussex,,993,245,224,352
26,271,University of Aberdeen,,873,295,200,314
27,293,University of East Anglia,,1273,300,225,343
28,311,University of Surrey,,1366,217,329,427
29,312,Queen's University Belfast,,765,384,398,294
30,317,Lancaster University,,1537,430,150,300
31,324,University of Bath,,753,265,328,425
32,343,University of Reading,,756,335,237,408
33,346,University of Dundee,,1537,364,158,398
34,359,Open University UK,,639,171,323,631
35,377,London School of Hygiene & Tropical Medicine,,1223,794,278,236
36,378,University of Strathclyde,,824,397,478,441
37,385,Loughborough University,,1130,377,408,472
38,409,University of Kent,,1036,294,460,606
39,426,University of Birmingham,,1548,286,9431,106
40,437,Brunel University,,2272,554,177,489
41,495,University of Plymouth,,2281,569,603,512
42,501,City University London,,1521,406,473,688
43,516,Heriot-Watt University,,1553,483,565,662
44,527,University of Essex,,1497,404,497,773
45,572,Swansea University,,2773,881,385,529
46,589,Bangor University,,942,737,376,713
47,600,University of Stirling,,2301,587,559,773
48,608,University of Portsmouth,,1302,593,698,784
49,627,Cranfield University,,2473,714,613,693
