ranking;Researcher;University;Citations;H-Index
1;Michel Foucault;Collège de France;782097;242
2;Pierre Bourdieu;Centre de Sociologie Européenne;;
3;Sigmund Freud;University of Vienna;482648;272
4;Albert Bandura;Stanford University;451545;180
5;Bert Vogelstein;Johns Hopkins University;342631;241
6;Noam Chomsky;Massachusetts Institute of Technology MIT;337098;164
7;Eric Lander;Broad Institute Harvard MIT;328108;234
8;Tom Maniatis;Columbia University;325704;148
9;Michael E Porter;Bishop William Lawrence University;;
10;Herbert Simon;Carnegie Mellon University;311351;170
11;Eugene Braunwald;Brigham and Women's Hospital Harvard Medical School;308150;250
12;Daniel Kahneman;Princeton University;296047;126
13;Douglas G Altman;Oxford University;294346;189
14;Amartya Sen;Harvard University;292905;191
15;Masatoshi Nei;Pennsylvania State University;291500;118
16;Ronald C Kessler;Harvard University;286281;255
17;Ulrich K Laemmli;University of Geneva;273494;67
18;Karl Marx;Universities of Bonn Berlin and Jena;271714;163
19;Graham Colditz;Washington University in St Louis;268650;271
20;Robert Tibshirani;Stanford University;262969;139
21;Michael Graetzel;Ecole Polytechnique Fédérale de Lausanne;258463;227
22;Paulo Freire;;251240;124
23;Oliver H Lowry;Washington University in St Louis;247156;88
24;George M Sheldrick;Goettingen University;246895;105
25;Philip Kotler;Northwestern University;246834;151
26;Max Weber;Universities of Berlin Freiburg Heidelberg Vienna Munich;245380;123
27;Joseph E Stiglitz;Columbia University;245163;199
28;Jacques Derrida;École des Hautes Études en Sciences Sociales de Paris EHESS;242744;190
29;Andrei Shleifer;Harvard University;241583;135
30;Amos Tversky;Stanford University;235985;102
31;Salim Yusuf;McMaster University;;
32;Erving Goffman;University of Pennsylvania;232339;87
33;Stephen West;Arizona State University;232123;80
34;Robert Langer;Massachusetts Institute of Technology MIT;230926;241
35;Solomon H Snyder;Johns Hopkins University;228898;245
36;JoAnn E Manson;Harvard Medical School;;
37;Eugene F Fama;Chicago Booth;228266;95
38;Donald B Rubin;Harvard University;225484;119
39;Oliver E Williamson;University of California Berkeley;223054;109
40;Michael Karin;University of California San Diego;222410;228
41;Icek Ajzen;University of Massachusetts Amherst;222178;90
42;Kenneth Kinzler;Johns Hopkins University;221576;204
43;Richard M Ryan;University of Rochester;220516;154
44;Gary S Becker #;University of Chicago;218203;95
45;Gilles Deleuze;;216083;151
46;Paul M Ridker;Harvard Medical School;215947;200
47;Glen Cowan;Royal Holloway University of London;215271;169
48;S B Kim;Seoul National University;214644;199
49;Miguel Branco;Ecole Polytechnique Fédérale de Lausanne;214284;191
50;Edward L Deci;University of Rochester;208677;124
51;Ahmedin Jemal;American Cancer Society;207387;91
52;Joey Huston;Michigan State University;204975;172
53;David Botstein;Princeton University;203608;170
54;Vincenzo Barone;Scuola Normale Superiore di Pisa;202210;104
55;John P Perdew #;Temple University;202065;96
56;Robert A Weinberg;Massachusetts Institute of Technology MIT;201538;180
57;Gordon Guyatt;McMaster University;201459;222
58;Robert Gardner;University of Chicago;195998;175
59;Carlo Croce;Ohio State University;194456;209
60;James G March;Stanford University;193753;108
61;Mark Daly;Harvard University;192036;167
62;Paul R Krugman;Princeton University;189878;146
63;Peter M Bentler;University of California Los Angeles;188939;102
64;Peter Barnes;Imperial College London;188384;206
65;Matthias Mann #;Max Planck Gesellschaft MPG;188263;200
66;Webb Miller;Pennsylvania State University;;
67;Eric Topol;Scripps Research Institute;186360;204
68;Yiguo Zhang;Chongqing University;185401;172
69;Karl Friston;University College London;184263;202
70;Edward Witten;Institute for Advanced Study in Princeton;182487;188
71;Richard A Flavell;Yale University;;
72;Geoffrey Hinton;University of Toronto;179922;132
73;David R Cox;Oxford University;179206;108
74;Lotfi A Zadeh;University of California Berkeley;178567;104
75;Rebecca L Siegel;American Cancer Society;178128;41
76;Alan Heeger;University of California Santa Barbara;177877;187
77;A S Fauci;National Institutes of Health NIH;177089;204
78;Steven A Rosenberg;National Cancer Institute NIH;176874;207
79;Frank B Hu;Harvard University;175710;213
80;Guido Kroemer;INSERM;175662;199
81;Kenneth J Arrow;Stanford University;175238;133
82;Valentin Fuster;Centro Nacional de Investigaciones Cardiovasculares CNIC;173748;174
83;Ralph B D'Agostino;Boston University;172837;200
84;Daniel Levy;National Heart, Lung, and Blood Institute;172098;194
85;Swagato Banerjee;University of Louisville;171276;151
86;Albert László Barabási;Northeastern University;;
