ranking,World Rank,University,Det.,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
1,79,(2) Universidade de São Paulo USP,,80,127,137,70
2,212,Universidade Federal do Rio de Janeiro,,39,213,312,348
3,286,Universidade Estadual de Campinas UNICAMP,,292,319,298,331
4,362,Universidade Estadual Paulista Júlio de Mesquita Filho,,366,559,103,369
5,368,Universidade Federal do Rio Grande do Sul UFRGS,,223,399,471,421
6,422,Universidade Federal de Minas Gerais UFMG,,346,584,435,458
7,433,Universidade Federal de Santa Catarina UFSC,,154,324,782,644
8,553,Universidade Federal do Paraná,,30,574,738,817
9,594,Universidade de Brasília UNB,,414,563,740,821
10,596,Universidade Federal Fluminense,,259,407,1118,930
11,714,Universidade Federal do Ceará,,603,850,702,875
12,731,Universidade Federal da Bahia,,525,727,837,976
13,734,Universidade Federal do Rio Grande do Norte,,645,754,751,963
14,774,Universidade Federal de Goiás UFG,,52,849,889,1092
15,775,Universidade do Estado do Rio de Janeiro UERJ,,765,1359,304,813
16,788,Universidade Federal de Pernambuco,,758,1128,794,844
17,799,Universidade Federal de São Paulo UNIFESP,,1360,2017,746,556
18,830,Pontificia Universidade Católica do Rio de Janeiro PUC-RIO,,704,827,1035,1130
19,872,Universidade Federal de São Carlos,,1036,1550,690,873
20,900,Universidade Federal de Santa Maria UFSM,,75,1474,944,1020
21,1015,Pontificia Universidade Católica do Rio Grande do Sul PUCRS,,1088,1169,812,1350
22,1026,Universidade Federal de Pelotas UFPEL,,929,1916,713,1023
23,1046,Universidade Federal de Viçosa UFV,,252,2235,614,1047
24,1081,Universidade Estadual de Maringá,,717,1424,849,1353
25,1083,Universidade Federal do Pará UFPA,,838,1282,1003,1385
26,1101,Universidade Estadual de Londrina,,1032,1567,1027,1248
27,1101,Universidade Federal da Paraíba UFPB,,510,1762,911,1222
28,1141,Universidade Federal de Campina Grande,,1510,797,923,1933
29,1209,Fundação Getulio Vargas FGV,,43,552,936,2752
30,1214,Universidade Federal de Uberlândia,,698,1784,1352,1334
31,1218,Universidade Federal de Juiz de Fora UFJF,,571,2651,1902,938
32,1252,Universidade Tecnológica Federal do Paraná UTFPR,,665,1472,1513,1533
33,1285,Universidade Federal do Espírito Santo,,1075,2111,1110,1370
34,1379,Universidade Federal do Amazonas UFAM,,1435,1006,1947,2044
35,1401,Pontificia Universidade Católica do Paraná PUCPR,,1995,1926,543,1787
36,1435,Universidade Federal do ABC UFABC,,2620,4898,519,936
37,1506,Universidade Federal de São João del Rei UFSJ,,2387,3535,2112,1089
38,1514,Universidade Federal de Lavras UFLA,,1223,3034,975,1507
39,1579,Universidade Estadual de Ponta Grossa UEPG,,1974,2022,1288,1940
40,1635,Universidade Federal de Sergipe UFS,,788,3284,1632,1556
41,1697,Universidade Federal do Rio Grande FURG,,1319,3290,1295,1677
42,1709,Universidade Federal do Maranhão,,1564,1510,2099,2334
43,1726,Universidade Federal de Ouro Preto UFOP,,512,3000,1712,1851
44,1759,Universidade do Estado de Santa Catarina UDESC,,1435,2081,2172,2125
45,1762,Universidade Federal de Alagoas,,2114,3282,1679,1710
46,1771,Universidade do Vale do Rio dos Sinos UNISINOS,,1574,1541,1412,2599
47,1870,Universidade Federal de Mato Grosso,,1553,3107,2248,1905
48,2014,Universidade Federal de Mato Grosso do Sul,,1417,2973,1877,2319
49,2092,Universidade Federal Rural do Rio de Janeiro UFRRJ,,1861,4167,1772,2044
50,2108,Universidade Estadual do Oeste do Paraná UNIOESTE,,1510,2839,2284,2486
51,2111,Pontificia Universidade Católica do Minas Gerais PUC MINAS,,1537,2634,2405,2551
52,2121,Universidade Estadual de Feira de Santana UEFS,,2829,3769,1529,2230
53,2147,Universidade Presbiteriana Mackenzie,,2534,2744,1214,2765
54,2178,Universidade Católica de Brasilia,,2637,3462,1535,2449
55,2178,Universidade Federal Rural de Pernambuco UFRPE,,1877,5301,2001,1829
56,2197,Universidade Estadual de Montes Claros UNIMONTES,,1985,2030,2456,2966
57,2233,Pontificia Universidade Católica de São Paulo PUC-SP,,87,1482,848,3972
58,2263,Instituto Tecnológico de Aeronáutica ITA,,4630,4363,1532,2203
59,2333,Universidade de Caxias do Sul,,2760,3335,2515,2563
60,2345,Universidade Estadual da Paraíba UEPB,,1887,3219,3107,2599
61,2379,Universidade Estácio de Sá,,3355,2821,1705,3004
62,2401,Universidade Estadual do Ceará,,1802,4191,2004,2551
63,2406,Universidade de Passo Fundo,,2124,3547,2308,2716
64,2443,Universidade Paulista UNIP,,3708,2804,2785,2943
65,2457,Universidade Federal de Itajubá UNIFEI,,3411,4588,2267,2404
66,2508,Universidade Estadual do Centro Oeste UNICENTRO,,3226,2560,2993,3150
67,2524,Universidade Nove de Julho,,3524,5279,1393,2502
68,2606,Universidade Federal do Estado do Rio de Janeiro UNIRIO,,1960,4849,3083,2551
69,2614,Universidade Federal da Grande Dourados UFGD,,3068,3882,2005,2986
70,2635,Universidade de Pernambuco,,6445,6254,1886,2277
71,2658,Universidade do Sul de Santa Catarina UNISUL,,2604,4327,2313,2879
72,2666,Universidade Estadual de Santa Cruz UESC,,3467,5305,2072,2599
73,2724,Universidade de Fortaleza UNIFOR,,4128,4713,2523,2782
74,2740,Universidade Estadual do Norte Fluminense Darcy Ribeiro,,5133,7192,1333,2369
75,2749,Universidade Federal do Triangulo Mineiro UFTM,,6118,5740,2522,2486
76,2781,Universidade Federal dos Vales do Jequitinhonha e Mucuri UFVJM,,2413,5788,1822,2782
77,2784,Universidade do Estado da Bahia UNEB,,457,2876,3256,3696
78,2800,Universidade Federal de Alfenas UNIFAL-MG,,3058,8303,1022,2404
79,2808,Universidade de Santa Cruz do Sul UNISC,,2588,2186,3285,3860
80,2825,Universidade do Vale do Itajaí UNIVALI,,2785,3741,2218,3446
81,2862,Universidade Federal do Pampa UNIPAMPA,,1463,7636,2080,2518
82,2930,Universidade Luterana do Brasil ULBRA,,2091,5384,3614,2899
83,2940,(1) Universidade do Extremo Sul Catarinense UNESC,,2186,7509,3019,2518
84,2980,Universidade Federal do Vale do São Francisco UNIVASF,,2743,5370,3302,3058
85,3018,Universidade Federal Rural da Amazônia,,3124,3003,3934,3816
86,3024,Universidade Regional de Blumenau FURB,,2557,4161,3211,3556
87,3024,Centro Federal de Educacão Tecnológica de Minas Gerais CEFET-MG,,3008,5674,3822,2966
