ranking,World Rank,University,Det.,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
1,42,Tsinghua University / 清华大学,,313,79,154,14
2,52,Peking University / 北京大学,,202,97,264,17
3,82,Shanghai Jiao Tong University / 上海交通大学,,202,151,336,39
4,85,Zhejiang University (National Che Kiang University) / 浙江大学,,240,170,245,45
5,112,Fudan University (Shanghai Medical University) / 复旦大学,,332,153,374,82
6,145,University of Science & Technology of China / 中国科学技术大学,,381,216,246,100
7,164,Wuhan University / 武汉大学,,225,197,366,161
8,166,Nanjing University / 南京大学,,490,277,276,108
9,189,Shandong University / 山东大学,,378,332,235,147
10,195,Huazhong University of Science & Technology / 华中科技大学,,3416,346,382,83
11,202,Sun Yat Sen University (Zhongshan University) / 中山大学,,539,376,438,112
12,206,Xi'An Jiaotong University / 西安交通大学,,448,383,266,140
13,210,Harbin Institute of Technology / 哈尔滨工业大学,,1241,405,287,115
14,251,Tongji University / 同济大学,,701,380,553,154
15,257,Southeast University / 东南大学,,143,481,340,175
16,258,Xiamen University / 厦门大学,,247,287,546,256
17,279,Beijing Normal University / 北京师范大学,,848,337,496,237
18,280,Tianjin University / 天津大学,,1497,486,466,149
19,282,Sichuan University / 四川大学,,1007,474,533,157
20,289,Jilin University / 吉林大学,,878,487,537,167
21,292,Nankai University / 南开大学,,973,452,394,200
22,305,Beihang University (Beijing University of Aeronautics and Astronautics) / 北京航空航天大学,,914,446,566,213
23,315,Central South University (Zhongnan University) / 中南大学,,843,592,550,171
24,331,South China University of Technology / 华南理工大学,,790,668,440,169
25,350,Dalian University of Technology / 大连理工大学,,484,532,956,214
26,367,Soochow University / 苏州大学,,1319,708,311,219
27,368,Lanzhou University / 兰州大学,,1127,408,600,361
28,380,Beijing Institute of Technology / 北京理工大学,,1020,548,585,328
29,383,Chongqing University / 重庆大学,,1177,599,506,302
30,397,East China Normal University / 华东师范大学,,694,425,666,433
31,434,(1) University of Chinese Academy of Sciences / 中国科学院大学,,1293,2140,1021,46
32,435,China Agricultural University / 中国农业大学,,1260,561,712,399
33,451,Shanghai University / 上海大学,,1271,642,574,413
34,459,East China University of Science & Technology / 华东理工大学,,1830,814,454,360
35,469,China University of Geosciences / 中国地质大学,,1396,735,971,354
36,472,Northwestern Polytechnical University / 西北工业大学,,1088,740,818,371
37,479,University of Science & Technology Beijing / 北京科技大学,,1742,652,905,396
38,485,Xidian University / 西安电子科技大学,,892,696,745,416
39,510,Nanjing University of Aeronautics & Astronautics / 南京航空航天大学,,1537,749,730,430
40,512,Northeastern University China / 东北大学,,1127,748,882,438
41,520,(1) Hunan University / 湖南大学,,1287,1433,512,252
42,526,Beijing University of Chemical Technology / 北京化工大学,,1966,803,645,440
43,539,Renmin University of China / 中国人民大学,,653,322,1221,802
44,541,Zhengzhou University / 郑州大学,,1700,710,741,516
45,542,(3) Peking University Health Science Center (Beijing Medical University) / 北京大学医学部,,1452,974,1251,359
46,548,Nanjing Agricultural University / 南京农业大学,,1497,809,457,522
47,562,Nanjing University of Science & Technology / 南京理工大学,,1961,950,862,422
48,566,Hefei University of Technology / 合肥工业大学,,1715,615,1363,569
49,571,China University of Mining & Technology / 中国矿业大学,,1171,848,1479,443
50,577,Shenzhen University / 深圳大学,,1480,796,665,562
51,580,Wuhan University of Technology / 武汉理工大学,,1724,830,776,520
52,591,Beijing University of Posts and Telecommunications / 北京邮电大学,,2631,838,1090,497
53,602,Jinan University / 暨南大学,,906,717,1174,612
54,607,Nanjing Medical University / 南京医科大学,,2710,957,1494,426
55,608,Southwest Jiaotong University / 西南交通大学,,1120,817,962,588
56,608,(1) Beijing (Northern) Jiaotong University / 北京交通大学,,1319,1137,656,481
57,619,Huazhong (Central China) Agriculture University / 华中农业大学,,1886,892,695,585
58,628,Fuzhou University / 福州大学,,1564,925,884,565
59,629,Central China Normal University / 华中师范大学,,1530,691,1162,656
60,637,Northwest A & F University / 西北农林科技大学,,2039,878,1379,549
61,647,Hohai University / 河海大学,,1678,863,859,639
62,648,South China Normal University / 华南师范大学,,1553,670,1228,723
63,657,Southwest University / 西南大学,,1841,1076,1257,506
64,664,Donghua University / 东华大学,,1480,929,1310,597
65,669,Northeast Normal University / 东北师范大学,,3140,626,1614,728
66,678,Ocean University of China / 中国海洋大学,,1608,887,1231,648
67,687,Nanchang University / 南昌大学,,1643,761,2316,633
68,687,Nanjing Normal University / 南京师范大学,,1700,685,1735,725
69,698,Harbin Engineering University / 哈尔滨工程大学,,2160,943,1194,649
70,702,Jiangsu University / 江苏大学,,2084,1246,1493,500
71,718,China University of Petroleum / 中国石油大学,,1590,987,1249,677
72,735,North China Electric Power University / 华北电力大学,,2726,1147,1935,539
73,741,(1) Shaanxi Normal University / 陕西师范大学,,1623,712,1715,836
74,741,Zhejiang University of Technology / 浙江工业大学,,2575,1010,1274,681
75,758,Jiangnan University (Southern Yangtze University) / 江南大学,,2462,1314,1608,544
76,780,National University of Defense Technology (National Defense University) / 国防科学技术大学 (国防科技大学),,4362,1464,2079,470
77,805,Beijing Forestry University / 北京林业大学,,2601,815,1655,901
78,833,Qingdao University / 青岛大学,,2253,1068,1792,807
79,834,Yangzhou University / 扬州大学,,2414,1197,1396,794
80,846,Anhui University / 安徽大学,,1715,1013,2393,840
81,852,Taiyuan University of Technology / 太原理工大学,,2511,1104,1446,866
82,859,China University of Petroleum Beijing / 中国石油大学(北京),,2084,1382,2145,707
83,876,Nanjing University of Posts & Telecommunications / 南京邮电大学,,2614,1406,1590,764
84,880,Zhejiang Normal University / 浙江师范大学,,2313,1134,2263,822
85,889,China Pharmaceutical University / 中国药科大学,,3082,1196,2735,755
86,897,Ningbo University / 宁波大学,,7438,1193,1189,855
87,897,Henan University / 河南大学,,1907,968,1851,998
88,897,Huaqiao University / 华侨大学,,1485,1069,854,1092
89,903,Guangxi University / 广西大学,,2338,902,2350,979
90,908,Yanshan University / 燕山大学,,3316,1232,1696,852
91,912,Shanxi University / 山西大学,,4035,1153,1410,914
92,913,The Second Military Medical University / 第二军医大学,,6118,2016,2060,538
93,918,Xiangtan University / 湘潭大学,,3809,1243,1753,860
94,921,Nanjing University of Information Science & Technology (ex-Institute of Meteorology) / 南京信息工程大学,,2575,1663,1437,763
95,924,University of Jinan / 济南大学,,3872,1257,2416,799
96,928,Guangdong University of Technology / 廣東工業大學,,2599,1237,2211,858
97,934,The Fourth Military Medical University / 第四军医大学,,23458,1549,1861,576
98,964,Nanjing Tech University / 南京工业大学,,1906,2917,1062,610
