ranking,World Rank,University,Det.,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
1,64,Utrecht University / Universiteit Utrecht,,326,94,181,40
2,69,University of Amsterdam / Universiteit van Amsterdam,,48,136,178,43
3,96,Delft University of Technology TU Delft,,24,131,192,148
4,101,University of Groningen / Rijksuniversiteit Groningen,,384,150,275,77
5,124,VU University of Amsterdam / Vrije Universiteit Amsterdam,,544,267,113,64
6,180,Wageningen University & Research Centre,,359,328,141,133
7,215,Radboud University / Radboud Universiteit Nijmegen,,486,339,46,211
8,220,Eindhoven University of Technology / Technische Universiteit Eindhoven,,317,218,368,266
9,229,University of Twente / Universiteit Twente,,549,178,381,298
10,260,Erasmus University of Rotterdam / Erasmus Universiteit Rotterdam,,841,777,258,69
11,398,Maastricht University / Universiteit Maastricht,,1070,802,163,296
12,654,Tilburg University,,1669,986,691,625
13,669,Leiden University / Universiteit Leiden,,1654,562,11401,85
14,1416,Open University / Open Universiteit Netherlands,,3383,2063,1071,1541
15,2028,IHE Delft Institute for Water Education,,8950,5218,1368,1540
16,2200,Hogeschool van Arnhem en Nijmegen HAN,,2762,2067,2897,2835
17,2335,Hanze University Groningen / Hanzehogeschool Groningen,,2045,2113,3430,3004
18,2406,Hogeschool van Amsterdam HvA,,2844,1850,2619,3414
19,2668,Zuyd Hogeschool,,10215,4029,2817,2752
20,2779,Breda University of Professional Education / NHTV internationaal hoger onderwijs Breda,,6628,3872,2655,3098
21,2805,(1) Saxion University of Professional Education,,4897,3251,3585,3275
22,3180,Hogeschool Utrecht (Hogeschool Domstad),,2543,2068,2153,4666
23,3225,Hogeschool Inholland,,5607,3053,5326,3925
24,3534,Tinbergen Institute,,6231,6114,11096,2164
25,3587,Utrecht School of the Arts / Hogeschool voor de Kunsten Utrecht,,7395,2043,7404,4479
26,3785,Academic Centre for Dentistry / Academisch Centrum Tandheelkunde Amsterdam,,14970,8201,886,3972
27,4106,(1) De Haagse Hogeschool / The Hague University of Applied Sciences,,14814,4317,11401,3275
28,4160,(3) Rotterdam School of Management RSM Erasmus University,,4671,2039,820,6033
29,4275,Hogeschool Leiden (Hogeschool Helicon),,11634,5509,6913,4409
30,4377,Hogeschool Zeeland,,13678,6146,5941,4479
31,4633,(3) Faculty of Geo-Information Science and Earth Observation University of Twente,,7025,2702,2222,6033
32,4691,Maastricht School of Management,,9378,6484,10084,4202
33,4742,(1) Fontys University of Applied Sciences,,4268,2666,3730,6033
