ranking,World Rank,University,Det.,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
1,1,Harvard University,,38,2,1,1
2,2,Stanford University,,61,3,2,3
3,3,Massachusetts Institute of Technology,,42,1,4,11
4,5,University of California Berkeley,,109,4,3,16
5,6,University of Michigan,,68,7,13,5
6,7,University of Washington,,139,6,43,7
7,8,Cornell University,,77,5,35,22
8,9,Columbia University New York,,136,9,16,13
9,10,University of Pennsylvania,,130,12,32,15
10,12,(2) Johns Hopkins University,,278,39,42,2
11,13,University of California Los Angeles UCLA,,176,16,23,12
12,14,Yale University,,208,10,19,20
13,15,University of Wisconsin Madison,,114,13,44,31
14,16,University of California San Diego,,211,31,5,18
15,17,University of Minnesota System,,147,17,38,33
16,18,(2) Pennsylvania State University,,92,11,80,47
17,20,Duke University,,151,27,12,21
18,22,University of Texas Austin,,111,15,39,52
19,23,Princeton University,,178,8,14,80
20,24,University of Chicago,,104,20,8,60
21,25,New York University,,268,23,28,38
22,26,University of North Carolina Chapel Hill,,189,30,34,35
23,27,University of California Irvine,,33,21,36,92
24,29,University of Illinois Urbana Champaign,,112,26,110,54
25,30,Northwestern University,,330,40,30,34
26,31,University of Southern California,,161,25,59,61
27,32,University of Florida,,206,28,62,63
28,34,University of California Davis,,281,35,69,49
29,34,Ohio State University,,157,45,72,36
30,36,University of Maryland College Park,,183,24,81,71
31,37,(2) California Institute of Technology Caltech,,135,51,48,44
32,38,Carnegie Mellon University,,126,19,27,116
33,39,Purdue University,,143,22,92,96
34,40,Michigan State University,,180,29,21,98
35,41,University of California San Francisco,,41,90,61,24
36,42,University of Pittsburgh,,154,50,84,48
37,42,Boston University,,240,42,7,72
38,45,Washington University Saint Louis,,283,48,25,62
39,47,University of Arizona,,182,32,89,91
40,49,Rutgers The State University of New Jersey,,126,38,87,93
41,50,Georgia Institute of Technology,,321,54,24,73
42,51,Arizona State University,,187,37,20,117
43,53,University of Utah,,13,56,112,102
44,54,University of Colorado Boulder,,417,41,76,89
45,60,University of Virginia,,305,33,126,121
46,61,Texas A&M University,,244,44,78,113
47,62,Vanderbilt University,,252,70,57,66
48,67,University of California Santa Barbara,,275,52,63,128
49,70,Emory University,,386,98,66,68
50,71,Indiana University Bloomington,,415,36,71,209
51,73,Brown University,,537,60,56,130
52,75,University of Iowa,,412,66,130,123
53,78,North Carolina State University,,194,53,184,181
54,81,Tufts University,,294,49,49,231
55,84,Virginia Polytechnic Institute and State University,,271,58,156,186
56,89,University of Rochester,,690,87,45,158
57,90,University of Massachusetts Amherst,,405,78,31,203
58,94,City University of New York,,266,59,108,245
59,98,Florida State University,,37,76,155,270
60,100,Iowa State University,,225,73,228,205
61,103,University of Georgia,,386,61,176,241
62,110,University of Illinois Chicago,,390,105,148,164
63,114,Rice University,,660,81,33,259
64,115,University at Buffalo,,520,75,213,226
65,116,Colorado State University,,350,67,111,289
66,116,Oregon State University,,383,62,233,276
67,120,University of Delaware,,575,46,292,345
68,123,University of Nebraska Lincoln,,280,64,124,324
69,125,Georgetown University,,64,65,140,365
70,128,University of California Santa Cruz,,265,95,96,259
71,130,University of Maryland Baltimore,,1849,388,194,23
72,131,University of California Riverside,,215,104,94,247
73,132,University of Miami,,834,117,153,179
74,133,University of Tennessee Knoxville,,649,101,220,206
75,136,Dartmouth College,,674,80,191,265
76,138,University of Kansas,,158,119,195,212
77,140,University of Connecticut,,499,113,120,221
78,144,Temple University,,934,124,15,234
79,147,Case Western Reserve University,,468,141,128,173
80,148,University of Kentucky,,411,99,249,238
81,150,University of Notre Dame,,481,88,85,304
82,159,University of South Florida,,342,86,239,317
83,161,University of New Mexico,,279,123,204,255
84,162,University of Oregon,,525,85,18,414
85,163,University of Missouri Columbia,,520,93,231,334
86,170,Washington State University Pullman,,488,68,270,395
87,171,University of Cincinnati,,1020,152,125,220
88,178,University of Houston,,914,110,105,364
89,178,George Mason University,,592,63,214,486
90,181,Wayne State University,,761,177,138,235
91,183,University of Alabama Birmingham,,934,247,257,155
92,197,M D Anderson Cancer Center University of Texas,,2925,448,58,95
93,198,University of South Carolina,,883,144,282,298
94,199,University of Oklahoma,,890,146,372,277
95,207,Stony Brook University,,1185,279,114,204
96,217,Virginia Commonwealth University,,717,173,209,315
97,219,Indiana University/Purdue University Indianapolis,,883,206,309,258
98,228,Drexel University,,848,156,116,382
99,234,Louisiana State University,,774,133,295,392
100,240,Northeastern University,,921,190,400,291
101,243,Brigham Young University,,397,84,330,584
102,244,University of Central Florida,,447,148,242,404
103,245,Florida International University,,70,164,272,437
104,253,Georgia State University,,627,112,302,502
105,265,Oregon Health & Science University,,795,444,147,208
106,272,Rensselaer Polytechnic Institute,,993,122,189,560
107,275,Baylor College of Medicine,,2278,623,74,142
108,276,University of Colorado Denver,,1223,523,100,192
109,276,University of Vermont,,865,154,133,501
110,282,University of Texas Dallas,,1273,298,210,309
111,307,University of Texas Southwestern Medical Center at Dallas,,2978,663,60,166
112,309,San Diego State University,,909,137,305,575
113,310,Clemson University,,1075,155,412,504
114,315,University of New Hampshire,,820,135,218,619
115,321,Utah State University,,401,132,587,597
116,323,Boston College,,925,128,221,658
117,326,University of Alabama,,883,180,360,520
118,328,University of North Texas,,109,147,339,669
119,330,West Virginia University,,807,214,393,487
120,337,Wake Forest University,,1273,323,648,340
121,341,Oklahoma State University Stillwater,,774,188,448,530
122,351,Texas Tech University,,824,269,211,506
123,353,Tulane University,,1094,259,337,488
124,355,Auburn University,,934,186,403,574
125,359,Yeshiva University,,2196,547,203,278
126,364,University at Albany,,1422,236,521,491
127,371,University of Wisconsin Milwaukee,,1011,249,396,544
128,373,Kent State University,,940,196,243,682
129,379,Kansas State University,,788,266,1248,464
130,381,University of Texas Arlington,,1088,396,162,508
131,389,University of Mississippi,,1293,400,427,450
132,390,University of Louisville,,1252,409,472,435
133,391,Southern Methodist University,,1059,209,256,717
134,393,University of Massachusetts Medical School at Worcester,,2032,624,101,385
135,399,Portland State University,,12,215,378,890
136,404,University of Arkansas Fayetteville,,629,257,388,675
137,415,Brandeis University,,1471,262,351,676
138,416,University of Maryland Baltimore County,,973,240,424,721
139,423,Baylor University,,942,234,480,726
140,435,Michigan Technological University,,675,182,755,800
141,438,Rochester Institute of Technology,,588,130,476,1011
142,439,University of Missouri Kansas City,,1374,272,542,691
143,441,(3) University of Texas Health Science Center at San Antonio,,2040,729,109,423
144,442,Medical University of South Carolina,,2752,775,263,363
145,458,Illinois Institute of Technology,,1217,278,452,769
146,461,Loyola University Chicago,,1050,313,632,688
147,462,Mississippi State University,,932,289,799,703
148,467,Saint Louis University,,1849,361,715,608
149,468,Rockefeller University,,4137,704,104,453
150,469,University of Wyoming,,1553,347,583,664
151,473,New Mexico State University,,782,248,588,831
152,474,University of Texas San Antonio,,1530,526,286,579
153,475,Montana State University,,1210,305,416,766
154,480,University of Nevada Reno,,1293,315,493,737
155,483,George Washington University,,106,72,11401,292
156,488,Old Dominion University,,1271,379,434,718
157,490,College of William & Mary,,1032,290,650,781
158,491,University of Idaho,,1417,284,489,805
159,493,Thomas Jefferson University,,2182,880,306,391
160,494,University of Rhode Island,,1023,303,369,838
161,503,University of Nevada Las Vegas,,1059,348,395,789
