World Rank;University;Det.;Presence Rank*;Impact Rank*;Openness Rank*;Excellence Rank*
1;Harvard University;;38;2;1;1
2;Stanford University;;61;3;2;3
3;Massachusetts Institute of Technology;;42;1;4;11
4;University of Oxford;;1;14;10;4
5;University of California Berkeley;;109;4;3;16
6;University of Michigan;;68;7;13;5
7;University of Washington;;139;6;43;7
8;Cornell University;;77;5;35;22
9;Columbia University New York;;136;9;16;13
10;University of Pennsylvania;;130;12;32;15
11;University of Cambridge;;102;18;6;10
12;(2) Johns Hopkins University;;278;39;42;2
13;University of California Los Angeles UCLA;;176;16;23;12
14;Yale University;;208;10;19;20
15;University of Wisconsin Madison;;114;13;44;31
16;University of California San Diego;;211;31;5;18
17;University of Minnesota System;;147;17;38;33
18;(2) Pennsylvania State University;;92;11;80;47
19;University of Toronto;;123;34;47;9
20;Duke University;;151;27;12;21
21;University College London;;225;47;9;8
22;University of Texas Austin;;111;15;39;52
23;Princeton University;;178;8;14;80
24;University of Chicago;;104;20;8;60
25;New York University;;268;23;28;38
26;University of North Carolina Chapel Hill;;189;30;34;35
27;University of California Irvine;;33;21;36;92
28;University of British Columbia;;95;43;55;28
29;University of Illinois Urbana Champaign;;112;26;110;54
30;Northwestern University;;330;40;30;34
31;University of Southern California;;161;25;59;61
32;University of Florida;;206;28;62;63
33;University of Edinburgh;;5;57;52;58
34;University of California Davis;;281;35;69;49
34;Ohio State University;;157;45;72;36
36;University of Maryland College Park;;183;24;81;71
37;(2) California Institute of Technology Caltech;;135;51;48;44
38;Carnegie Mellon University;;126;19;27;116
39;Purdue University;;143;22;92;96
40;Michigan State University;;180;29;21;98
41;University of California San Francisco;;41;90;61;24
42;Tsinghua University / 清华大学;;313;79;154;14
42;University of Pittsburgh;;154;50;84;48
42;Boston University;;240;42;7;72
45;Washington University Saint Louis;;283;48;25;62
46;University of Hong Kong;;290;126;99;6
47;University of Arizona;;182;32;89;91
48;Eidgenössische Technische Hochschule ETH Zürich / Swiss Federal Institute of Technology Zurich;;131;83;83;30
49;Rutgers The State University of New Jersey;;126;38;87;93
50;Georgia Institute of Technology;;321;54;24;73
51;Arizona State University;;187;37;20;117
52;Peking University / 北京大学;;202;97;264;17
53;University of Utah;;13;56;112;102
54;University of Colorado Boulder;;417;41;76;89
55;University of Melbourne;;318;100;64;26
56;University of Alberta;;44;77;37;75
57;National University of Singapore;;225;102;77;29
58;McGill University;;293;69;51;59
59;Imperial College London;;658;134;22;19
60;University of Virginia;;305;33;126;121
61;Texas A&M University;;244;44;78;113
62;Vanderbilt University;;252;70;57;66
63;University of New South Wales;;324;89;93;57
64;Utrecht University / Universiteit Utrecht;;326;94;181;40
65;University of Tokyo / 東京大学;;172;96;318;41
66;University of Queensland;;506;109;73;37
67;University of California Santa Barbara;;275;52;63;128
68;University of Manchester;;285;111;68;51
69;University of Amsterdam / Universiteit van Amsterdam;;48;136;178;43
70;Emory University;;386;98;66;68
71;Indiana University Bloomington;;415;36;71;209
72;University of Sydney;;613;143;119;27
73;Brown University;;537;60;56;130
74;École Polytechnique Fédérale de Lausanne;;2;181;17;84
75;University of Iowa;;412;66;130;123
76;University of Copenhagen / Københavns Universitet;;217;167;79;42
77;Australian National University;;234;71;91;129
78;North Carolina State University;;194;53;184;181
79;(2) Universidade de São Paulo USP;;80;127;137;70
80;King's College London;;479;158;29;55
81;Tufts University;;294;49;49;231
82;Shanghai Jiao Tong University / 上海交通大学;;202;151;336;39
83;Catholic University of Leuven;;262;162;102;53
84;Virginia Polytechnic Institute and State University;;271;58;156;186
85;Zhejiang University (National Che Kiang University) / 浙江大学;;240;170;245;45
86;University of Glasgow;;3;107;545;125
87;University of Helsinki / Helsingin yliopisto;;124;125;67;109
88;Monash University;;637;205;53;56
89;University of Rochester;;690;87;45;158
90;University of Massachusetts Amherst;;405;78;31;203
91;Ludwig Maximilians Universität München;;301;149;107;79
92;University of Waterloo;;264;82;198;168
93;Ruprecht Karls Universität Heidelberg;;161;138;131;101
94;City University of New York;;266;59;108;245
95;University of Oslo / Universitetet i Oslo;;139;115;223;122
96;Delft University of Technology TU Delft;;24;131;192;148
97;University of Warwick;;32;114;259;162
98;Uppsala University / Uppsala Universitet;;55;159;173;105
98;Florida State University;;37;76;155;270
100;Iowa State University;;225;73;228;205
101;University of Groningen / Rijksuniversiteit Groningen;;384;150;275;77
102;Kyoto University / 京都大学;;220;145;232;87
103;University of Georgia;;386;61;176;241
104;Simon Fraser University;;27;74;118;307
105;National Taiwan University;;97;129;166;136
106;Nanyang Technological University;;105;299;143;50
107;Ghent University / Universiteit Gent;;175;225;157;67
108;University of Calgary;;474;106;236;138
109;University of Leeds;;553;108;172;144
110;University of Illinois Chicago;;390;105;148;164
111;Technische Universität München;;310;176;171;81
112;Fudan University (Shanghai Medical University) / 复旦大学;;332;153;374;82
113;Lund University / Lunds Universitet;;218;199;50;107
114;Rice University;;660;81;33;259
115;University at Buffalo;;520;75;213;226
116;Colorado State University;;350;67;111;289
116;Oregon State University;;383;62;233;276
116;(1) Seoul National University / 서울대학교;;231;273;65;76
116;Università di Bologna (Università degli Studi di Bologna);;147;203;142;103
120;University of Delaware;;575;46;292;345
120;Aarhus University / Aarhus Universitet;;244;226;179;78
122;Bristol University;;539;222;54;88
123;University of Nebraska Lincoln;;280;64;124;324
124;VU University of Amsterdam / Vrije Universiteit Amsterdam;;544;267;113;64
125;Georgetown University;;64;65;140;365
126;University of Adelaide;;588;142;144;131
127;McMaster University;;542;160;11;160
128;University of California Santa Cruz;;265;95;96;259
128;Universität Zürich;;295;223;132;94
130;University of Maryland Baltimore;;1849;388;194;23
131;University of California Riverside;;215;104;94;247
132;University of Miami;;834;117;153;179
133;University of Tennessee Knoxville;;649;101;220;206
134;Université de Geneve;;45;168;88;188
135;Rheinisch Westfalische Technische Hochschule Aachen;;20;193;164;177
136;University of Nottingham;;738;157;216;118
136;Dartmouth College;;674;80;191;265
138;University of Kansas;;158;119;195;212
139;Université de Montréal;;22;169;115;207
140;Universitat de Barcelona;;180;207;199;111
140;University of Connecticut;;499;113;120;221
142;Karlsruhe Institute of Technology (Universität Karlsruhe);;4;230;207;165
143;Università degli Studi di Roma La Sapienza;;235;320;161;65
144;Temple University;;934;124;15;234
145;University of Science & Technology of China / 中国科学技术大学;;381;216;246;100
145;Chinese University of Hong Kong;;218;189;145;134
147;Case Western Reserve University;;468;141;128;173
148;University of Kentucky;;411;99;249;238
149;University of Western Australia;;734;184;185;113
150;University of Notre Dame;;481;88;85;304
151;University of Sheffield;;331;195;201;120
152;Università degli Studi di Milano;;50;341;90;99
153;University of Auckland;;58;187;121;190
154;Universität Bern;;34;275;70;153
155;Universidad Nacional Autónoma de México;;79;92;279;339
156;Universität Wien;;187;103;289;272
157;Newcastle University Newcastle upon Tyne;;571;140;238;180
158;(2) Tel Aviv University;;53;251;215;135
159;University of South Florida;;342;86;239;317
160;Universität Hamburg;;315;185;467;132
161;University of New Mexico;;279;123;204;255
162;University of Oregon;;525;85;18;414
163;University of Missouri Columbia;;520;93;231;334
164;Wuhan University / 武汉大学;;225;197;366;161
164;University of Exeter;;137;194;97;218
166;Nanjing University / 南京大学;;490;277;276;108
167;Queen Mary University of London;;869;241;41;156
168;Karolinska Institute / Karolinska Institutet;;813;422;75;74
169;Rheinische Friedrich Wilhelms Universität Bonn;;650;200;355;139
170;Washington State University Pullman;;488;68;270;395
171;University of Cincinnati;;1020;152;125;220
172;Osaka University / 大阪大学;;66;307;149;146
173;York University;;7;120;180;412
174;University of Western Ontario / Western University;;645;174;160;202
175;Hebrew University of Jerusalem;;36;210;123;275
176;Royal Institute of Technology / Kungliga Tekniska Högskolan;;374;172;419;193
177;Università degli Studi di Padova;;342;417;170;90
178;George Mason University;;592;63;214;486
178;University of Houston;;914;110;105;364
180;Wageningen University & Research Centre;;359;328;141;133
181;Wayne State University;;761;177;138;235
182;Technical University of Denmark / Danmarks Tekniske Universitet;;17;431;254;143
183;University of Alabama Birmingham;;934;247;257;155
184;Freie Universität Berlin;;8;183;303;344
185;Università di Pisa (Università degli Studi di Pisa);;16;371;182;195
186;Technische Universität Dresden;;216;274;248;185
187;London School of Economics and Political Science;;516;91;168;452
188;University of Gothenburg / Göteborgs Universitet;;192;276;227;199
189;Shandong University / 山东大学;;378;332;235;147
189;City University of Hong Kong;;863;288;129;178
191;Technische Universität Berlin;;28;202;271;338
192;University of Victoria British Columbia;;568;118;280;368
193;Stockholm University / Stockholms Universitet;;107;309;226;189
194;Université d'Ottawa / University of Ottawa;;711;227;230;215
195;University of York;;655;165;106;312
195;Huazhong University of Science & Technology / 华中科技大学;;3416;346;382;83
197;M D Anderson Cancer Center University of Texas;;2925;448;58;95
198;University of South Carolina;;883;144;282;298
199;Hong Kong University of Science & Technology;;626;239;186;224
199;University of Oklahoma;;890;146;372;277
201;Queen's University Kingston;;876;139;190;350
202;Sun Yat Sen University (Zhongshan University) / 中山大学;;539;376;438;112
203;University of Liverpool;;329;331;341;152
204;(1) Korea Advanced Institute of Science & Technology KAIST;;348;270;321;201
205;(1) Universitat de València;;172;301;98;233
206;Xi'An Jiaotong University / 西安交通大学;;448;383;266;140
207;Stony Brook University;;1185;279;114;204
208;(1) Norwegian University of Science & Technology / Norges Teknisk-Naturvitenskapelige Universitet;;428;242;308;225
209;University of Bergen / Universitetet i Bergen;;249;221;367;251
210;Harbin Institute of Technology / 哈尔滨工业大学;;1241;405;287;115
211;Universität Freiburg;;455;237;293;232
212;Universidade Federal do Rio de Janeiro;;39;213;312;348
213;Universität Tubingen;;534;244;273;229
213;Università degli Studi di Torino;;18;484;268;172
215;Radboud University / Radboud Universiteit Nijmegen;;486;339;46;211
216;Georg-August-Universität Göttingen;;40;281;516;240
217;National and Kapodistrian University of Athens;;585;362;26;217
217;Virginia Commonwealth University;;717;173;209;315
219;Indiana University/Purdue University Indianapolis;;883;206;309;258
220;Eindhoven University of Technology / Technische Universiteit Eindhoven;;317;218;368;266
220;Linköping University / Linköpings Universitet;;460;163;383;311
222;Lomonosov Moscow State University / Московский государственный университет М В Ломоносова;;178;179;592;284
223;Universität Münster;;667;264;461;197
223;Universidade do Porto;;198;292;571;195
225;Cardiff University;;1020;318;217;187
225;Universitat Autònoma de Barcelona;;198;390;477;151
227;Hong Kong Polytechnic University;;899;352;212;174
228;Drexel University;;848;156;116;382
229;University of Twente / Universiteit Twente;;549;178;381;298
230;University of Saint Andrews;;35;220;284;378
230;Trinity College Dublin;;810;201;252;295
232;Humboldt Universität zu Berlin;;304;191;504;288
233;Universidade de Lisboa;;205;438;429;137
234;Louisiana State University;;774;133;295;392
235;Università degli Studi di Napoli Federico II;;606;536;193;110
235;Tohoku University / 東北大学;;574;375;343;163
237;Universität zu Köln;;468;212;335;287
237;Charles University in Prague / Univerzita Karlova v Praze;;143;238;958;223
239;University of Leicester;;845;204;202;332
240;Northeastern University;;921;190;400;291
241;Technische Universität Wien;;532;166;413;349
241;Universidad de Granada;;302;296;196;262
243;Brigham Young University;;397;84;330;584
244;University of Central Florida;;447;148;242;404
245;Florida International University;;70;164;272;437
246;Université Laval;;183;261;255;308
246;Johannes Gutenberg Universität Mainz;;848;312;247;227
248;Curtin University of Technology;;1310;256;260;256
249;Universidad Politécnica de Madrid;;15;192;578;407
250;University of Southampton;;1756;258;2341;104
251;Tongji University / 同济大学;;701;380;553;154
252;Durham University;;464;208;875;247
253;Georgia State University;;627;112;302;502
254;Dalhousie University;;1039;232;261;303
254;Nagoya University / 名古屋大学;;950;365;139;228
256;Aristotle University of Thessaloniki;;21;314;518;306
257;Southeast University / 东南大学;;143;481;340;175
258;Xiamen University / 厦门大学;;247;287;546;256
259;Queensland University of Technology;;774;271;269;283
260;Erasmus University of Rotterdam / Erasmus Universiteit Rotterdam;;841;777;258;69
261;Politecnico di Milano;;530;336;436;222
262;Macquarie University;;680;253;229;333
263;Aalto University / Aalto-yliopisto;;386;316;331;266
264;Universität Leipzig;;565;255;365;321
265;Oregon Health & Science University;;795;444;147;208
266;University of Sussex;;993;245;224;352
266;University College Dublin;;878;385;146;253
268;Universidad Autónoma de Madrid;;502;421;333;210
269;Université Libre de Bruxelles;;824;356;127;280
269;Università degli Studi di Firenze;;623;507;250;182
271;University of Aberdeen;;873;295;200;314
272;University of Cape Town;;542;411;183;250
272;Rensselaer Polytechnic Institute;;993;122;189;560
274;University of Manitoba;;816;268;361;322
275;Baylor College of Medicine;;2278;623;74;142
276;University of Colorado Denver;;1223;523;100;192
276;University of Vermont;;865;154;133;501
278;Universität Basel;;289;440;187;242
279;Beijing Normal University / 北京师范大学;;848;337;496;237
280;Tianjin University / 天津大学;;1497;486;466;149
280;Umea University / Umeå Universitet;;645;260;399;342
282;Sichuan University / 四川大学;;1007;474;533;157
282;University of Texas Dallas;;1273;298;210;309
284;University of Wollongong;;798;311;274;301
285;(1) Korea University / 고려대학교;;606;567;136;191
286;Universidade Estadual de Campinas UNICAMP;;292;319;298;331
287;Technion Israel Institute of Technology;;592;412;222;261
287;(1) Yonsei University / 연세대학교;;407;572;277;182
289;Universität Würzburg;;702;427;348;230
289;Chalmers University of Technology;;581;280;433;336
289;Jilin University / 吉林大学;;878;487;537;167
292;Nankai University / 南开大学;;973;452;394;200
293;University of East Anglia;;1273;300;225;343
294;University of Technology Sydney;;1142;308;288;325
294;Griffith University;;1088;367;357;264
296;Kyushu University / 九州大学;;662;413;391;243
297;Universitat Politècnica de Catalunya BarcelonaTech;;252;317;547;319
298;Aalborg University / Aalborg Universitet;;337;445;205;274
299;RMIT University;;1164;229;414;386
300;Université de Paris XI / Université Paris Sud (comUE Université Paris Saclay);;1422;753;389;97
301;Hokkaido University / 北海道大学;;466;370;262;316
302;Weizmann Institute of Science;;695;410;135;310
303;University of Saskatchewan;;814;233;299;411
304;Université Grenoble Alpes (Communauté Université Grenoble Alpes);;1310;1344;342;32
305;National Chiao Tung University;;320;254;285;434
305;Beihang University (Beijing University of Aeronautics and Astronautics) / 北京航空航天大学;;914;446;566;213
307;University of Texas Southwestern Medical Center at Dallas;;2978;663;60;166
308;Tokyo Institute of Technology / 東京工業大学;;634;477;95;286
309;San Diego State University;;909;137;305;575
310;Clemson University;;1075;155;412;504
311;University of Surrey;;1366;217;329;427
