Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2017);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1;18991;"Nature Reviews Genetics";journal;"14710056, 14710064";34,896;Q1;307;108;429;7108;7296;167;38,94;65,81;United Kingdom;"Nature Publishing Group";"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
2;20315;"Nature Reviews Molecular Cell Biology";journal;"14710072, 14710080";32,714;Q1;372;112;428;7278;8741;206;29,64;64,98;United Kingdom;"Nature Publishing Group";"Cell Biology (Q1); Molecular Biology (Q1)"
3;21318;"Nature Reviews Immunology";journal;"14741733";28,786;Q1;332;141;465;8241;7943;184;39,55;58,45;United Kingdom;"Nature Publishing Group";"Immunology (Q1); Medicine (miscellaneous) (Q1)"
4;21100812243;"Nature Reviews Materials";journal;"20588437";28,630;Q1;33;91;102;7110;2619;56;46,77;78,13;United Kingdom;"Nature Publishing Group";"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)"
5;12464;"Nature Reviews Cancer";journal;"1474175X";23,530;Q1;373;118;403;9157;7687;198;37,90;77,60;United Kingdom;"Nature Publishing Group";"Cancer Research (Q1); Oncology (Q1)"
6;18990;"Nature Genetics";journal;"10614036";22,243;Q1;511;291;811;13028;16977;693;22,68;44,77;United Kingdom;"Nature Publishing Group";"Genetics (Q1)"
7;5200152704;"Nature Nanotechnology";journal;"17483387";20,612;Q1;263;230;737;7058;18668;562;30,23;30,69;United Kingdom;"Nature Publishing Group";"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
8;21100778827;"Nature Methods";journal;"15487105, 15487091";19,939;Q1;241;284;1029;6258;13288;580;19,62;22,04;United Kingdom;"Nature Publishing Group";"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
9;19482;"Econometrica";journal;"00129682, 14680262";19,932;Q1;158;59;187;2561;932;179;3,78;43,41;United Kingdom;"Blackwell Publishing Inc.";"Economics and Econometrics (Q1)"
10;17500;"Journal of Finance";journal;"15406261, 00221082";18,318;Q1;249;64;226;3145;1529;218;5,23;49,14;United Kingdom;"Blackwell Publishing Inc.";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
11;17854;"Nature Materials";journal;"14764660, 14761122";18,263;Q1;380;215;820;6642;20596;634;28,47;30,89;United Kingdom;"Nature Publishing Group";"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
12;16115;"Nature Biotechnology";journal;"10870156";18,252;Q1;377;275;1099;5977;14051;577;21,51;21,73;United Kingdom;"Nature Publishing Group";"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)"
13;21206;"Nature";journal;"14764687, 00280836";17,875;Q1;1052;2508;7862;43964;113865;4464;24,75;17,53;United Kingdom;"Nature Publishing Group";"Multidisciplinary (Q1)"
14;20313;"Nature Reviews Microbiology";journal;"17401526";17,634;Q1;237;144;427;7924;5683;199;28,43;55,03;United Kingdom;"Nature Publishing Group";"Immunology and Microbiology (miscellaneous)  (Q1)"
15;23350;"Chemical Society Reviews";journal;"03060012, 14604744";17,633;Q1;389;307;1071;56152;42112;1016;39,70;182,91;United Kingdom;"Royal Society of Chemistry";"Chemistry (miscellaneous) (Q1)"
16;17437;"Nature Reviews Neuroscience";journal;"14710048, 1471003X";17,110;Q1;357;123;442;8207;6015;218;27,64;66,72;United Kingdom;"Nature Publishing Group";"Neuroscience (miscellaneous) (Q1)"
17;15819;"Nature Medicine";journal;"10788956";17,067;Q1;484;255;928;8697;15477;650;24,41;34,11;United Kingdom;"Nature Publishing Group";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
18;5700165152;"Nature Photonics";journal;"17494885";16,462;Q1;236;189;637;5320;13943;450;26,37;28,15;United Kingdom;"Nature Pub. Group";"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
19;12354;"The Lancet Oncology";journal;"14702045, 14745488";16,085;Q1;252;495;1831;9560;18718;598;31,80;19,31;United Kingdom;"The Lancet Publishing Group";"Oncology (Q1)"
20;17436;"Nature Neuroscience";journal;"10976256";15,207;Q1;362;250;863;12475;12948;731;17,53;49,90;United Kingdom;"Nature Publishing Group";"Neuroscience (miscellaneous) (Q1)"
21;16590;"The Lancet";journal;"01406736, 1474547X";14,934;Q1;670;1580;5684;26957;48309;1528;31,85;17,06;United Kingdom;"The Lancet Publishing Group";"Medicine (miscellaneous) (Q1)"
22;17500155114;"Energy and Environmental Sciences";journal;"17545692";14,590;Q1;240;246;1036;15494;31869;1019;29,25;62,98;United Kingdom;"Royal Society of Chemistry";"Environmental Chemistry (Q1); Nuclear Energy and Engineering (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
