Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2017);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1;15205;"Memorias do Instituto Oswaldo Cruz";journal;"00740276, 16788060";1,172;Q1;76;124;438;3682;1082;425;2,81;29,69;Brazil;"Fundacao Oswaldo Cruz";"Medicine (miscellaneous) (Q1); Microbiology (medical) (Q2)"
2;27544;"Archives of Medical Research";journal;"01884409";1,009;Q1;68;91;297;4435;690;260;2,14;48,74;Mexico;"Elsevier BV";"Medicine (miscellaneous) (Q1)"
3;21100383742;"Journal of Materials Research and Technology";journal;"22387854";0,957;Q1;20;96;156;1650;558;152;3,55;17,19;Brazil;"Elsevier Editora Ltda";"Ceramics and Composites (Q1); Metals and Alloys (Q1); Surfaces, Coatings and Films (Q1); Biomaterials (Q2)"
4;21100231200;"Alea";journal;"19800436";0,934;Q2;10;10;101;272;54;101;0,44;27,20;Brazil;"Instituto Nacional de Matematica Pura e Aplicada";"Statistics and Probability (Q2)"
5;65749;"Boletin de la Sociedad Matematica Mexicana";journal;"00378615";0,879;Q1;12;0;4;0;7;4;1,75;0,00;Mexico;"National Association of Directors of Nursing Administration in Long Term Care";"Mathematics (miscellaneous) (Q1)"
6;21100817643;"Perspectives in Ecology and Conservation";journal;"25300644";0,877;Q1;19;53;76;2284;186;65;3,10;43,09;Brazil;"Associacao Brasileira de Ciencia Ecologica e Conservacao";"Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Ecology (Q2)"
7;21100200421;"Journal of Soil Science and Plant Nutrition";journal;"07189516";0,823;Q1;24;80;235;2860;521;235;2,35;35,75;Chile;"Sociedad Chilena de la Ciencia del Suelo";"Agronomy and Crop Science (Q1); Plant Science (Q1); Soil Science (Q2)"
8;21100416511;"Ethnobiology and Conservation";journal;"22384782";0,817;Q1;11;20;22;1523;82;21;3,67;76,15;Brazil;"Universidade Federal Rural de Pernambuco";"Animal Science and Zoology (Q1); Anthropology (Q1); Plant Science (Q1); Ecology (Q2); Nature and Landscape Conservation (Q2)"
9;21807;"Brazilian Journal of Infectious Diseases";journal;"14138670";0,817;Q2;37;124;401;2919;616;315;2,02;23,54;Brazil;"Elsevier Editora Ltda";"Infectious Diseases (Q2); Microbiology (medical) (Q2)"
10;22596;"Revista de Saude Publica";journal;"00348910";0,807;Q2;65;164;351;1015;570;334;1,48;6,19;Brazil;"Universidade de Sao Paulo";"Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
11;19262;"Revista Brasileira de Psiquiatria";journal;"15164446";0,803;Q2;44;76;213;2171;351;153;2,11;28,57;Brazil;"Associacao Brasileira de Psiquiatria";"Psychiatry and Mental Health (Q2)"
12;10800153305;"Brazilian Journal of Physical Therapy";journal;"18099246, 14133555";0,802;Q1;24;62;198;2226;382;188;1,89;35,90;Brazil;"Elsevier Editora Ltda";"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1); Orthopedics and Sports Medicine (Q2)"
13;4500151538;"Revista brasileira de parasitologia veterinaria = Brazilian journal of veterinary parasitology : Orgao Oficial do Colegio Brasileiro de Parasitologia Veterinaria.";journal;"0103846X";0,775;Q1;23;80;251;2907;388;232;1,33;36,34;Brazil;"Colegio Brasileiro de Parasitologia Veterinaria";"Veterinary (miscellaneous) (Q1); Parasitology (Q2)"
14;21100200424;"Rodriguesia";journal;"21757860, 03706583";0,734;Q1;15;172;289;4567;473;282;1,89;26,55;Brazil;"Rio de Janeiro Botanical Garden";"Horticulture (Q1); Plant Science (Q2)"
15;15096;"Jornal de Pediatria";journal;"00217557";0,704;Q2;43;157;302;3074;486;267;1,59;19,58;Brazil;"Elsevier Editora Ltda";"Pediatrics, Perinatology and Child Health (Q2)"
16;4900152804;"Advances in Applied Clifford Algebras";journal;"01887009";0,698;Q2;19;181;212;4027;201;206;1,01;22,25;Mexico;"Universidad Nacional Autonoma de Mexico";"Applied Mathematics (Q2)"
17;145505;"Revista Brasileira de Ciencia do Solo";journal;"01000683";0,679;Q1;42;81;471;3608;570;454;0,97;44,54;Brazil;"Sociedade Brasileira de Ciencia do Solo";"Agronomy and Crop Science (Q1); Soil Science (Q2)"
18;19700202606;"Andean Geology";journal;"07187106, 07187092";0,674;Q1;30;15;62;1083;85;62;1,19;72,20;Chile;"Servicio Nacional de Geologia y Mineria";"Paleontology (Q1); Geochemistry and Petrology (Q2); Geology (Q2); Stratigraphy (Q2)"
19;22364;"Revista do Instituto de Medicina Tropical de Sao Paulo";journal;"00364665";0,669;Q2;41;92;307;2839;447;282;1,58;30,86;Brazil;"Universidade de Sao Paulo";"Medicine (miscellaneous) (Q2); Infectious Diseases (Q3)"
20;23092;"Revista da Sociedade Brasileira de Medicina Tropical";journal;"00378682";0,658;Q2;45;171;483;3867;618;434;1,43;22,61;Brazil;"Sociedade Brasileira de Medicina Tropical";"Microbiology (medical) (Q2); Infectious Diseases (Q3); Parasitology (Q3)"
21;13260;"Biological Research";journal;"07176287, 07169760";0,654;Q1;47;42;193;410;429;183;2,52;9,76;Chile;"BioMed Central";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)"
22;11700154202;"Revista Chilena de Derecho";journal;"07160747, 07183437";0,645;Q1;6;39;134;2088;34;126;0,26;53,54;Chile;"Facultad de Derecho, Universidad Catolica de Chile";"Law (Q1)"
23;4000152106;"Journal of Applied Oral Science";journal;"16787757";0,645;Q2;31;89;256;2500;433;237;1,72;28,09;Brazil;"Faculdade de Medicina da Universidade de Sao Paulo";"Dentistry (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)"
24;38551;"Annals of Hepatology";journal;"16652681";0,640;Q2;44;138;378;3762;528;321;1,53;27,26;Mexico;"Ediciones Medicina y Cultura";"Medicine (miscellaneous) (Q2); Hepatology (Q3)"
25;22186;"Genetics and Molecular Biology";journal;"14154757";0,638;Q3;43;95;233;5243;386;224;1,63;55,19;Brazil;"Sociedade Brasileira de Genetica";"Genetics (Q3); Molecular Biology (Q3)"
26;130143;"Brazilian Journal of Microbiology";journal;"15178382";0,630;Q3;46;120;511;3858;1018;509;2,02;32,15;Brazil;"Elsevier Editora Ltda";"Microbiology (Q3)"
27;28675;"Brazilian Journal of Medical and Biological Research";journal;"0100879X";0,611;Q1;76;160;454;5094;763;454;1,54;31,84;Brazil;"Associacao Brasileira de Divulgacao Cientifica";"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Biophysics (Q2); Medicine (miscellaneous) (Q2); Biochemistry (Q3); Cell Biology (Q3); Immunology (Q3); Neuroscience (miscellaneous) (Q3); Physiology (Q3)"
28;4800156305;"Crop Breeding and Applied Biotechnology";journal;"15187853";0,609;Q2;17;61;148;1442;157;137;0,97;23,64;Brazil;"Board of Editors of the Hispanic American Review";"Agronomy and Crop Science (Q2); Biotechnology (Q2)"
29;21100266566;"Brazilian Journal of Geology";journal;"23174692, 23174889";0,608;Q2;9;30;142;1750;163;127;1,23;58,33;Brazil;"Sociedade Brasileira de Geologia";"Earth and Planetary Sciences (miscellaneous) (Q2)"
30;8600153101;"Horticultura Brasileira";journal;"18069991, 01020536";0,605;Q1;16;95;268;2219;228;249;0,82;23,36;Brazil;"Sociedade de Olericultura do Brasil";"Horticulture (Q1); Plant Science (Q2); Soil Science (Q2)"
31;4600151502;"Revista Brasileira de Epidemiologia";journal;"1415790X";0,605;Q3;25;79;321;2610;333;292;0,87;33,04;Brazil;"Associacao Brasileira de Pos-Graduacao em Saude Coletiva";"Epidemiology (Q3)"
32;13352;"Ameghiniana";journal;"00027014";0,601;Q2;33;34;122;2459;139;119;1,20;72,32;Argentina;"Association Paleontologica Argentina";"Ecology, Evolution, Behavior and Systematics (Q2); Paleontology (Q2)"
33;27797;"Revista Mexicana de Astronomia y Astrofisica";journal;"01851101";0,596;Q3;24;40;91;1661;73;90;0,91;41,53;Mexico;"Universidad Nacional Autonoma de Mexico";"Astronomy and Astrophysics (Q3); Space and Planetary Science (Q3)"
34;4000151823;"Scientia Agricola";journal;"01039016";0,578;Q2;40;63;212;2069;325;196;1,52;32,84;Brazil;"Escola Superior de Agricultura Luiz de Queiroz";"Agronomy and Crop Science (Q2); Animal Science and Zoology (Q2)"
35;4000152107;"Journal of Venomous Animals and Toxins Including Tropical Diseases";journal;"16789199";0,573;Q2;19;41;146;1913;284;138;1,80;46,66;Brazil;"BioMed Central";"Animal Science and Zoology (Q2); Infectious Diseases (Q3); Parasitology (Q3); Toxicology (Q3)"
36;5100154603;"Opiniao Publica";journal;"01046276";0,573;Q2;12;27;75;1407;46;75;0,55;52,11;Brazil;"Centro de Estudos de Opiniao Publica, Universidade Estadual de Campinas";"Sociology and Political Science (Q2)"
37;21100242616;"Sleep Science";journal;"19840659, 19840063";0,570;Q2;10;31;128;1030;170;112;1,31;33,23;Brazil;"Federacao Latino-Americana de Sociedades do Sono";"Medicine (miscellaneous) (Q2); Behavioral Neuroscience (Q3); Neuroscience (miscellaneous) (Q3)"
38;20135;"Cadernos de Saude Publica";journal;"0102311X";0,568;Q2;66;293;898;7771;810;741;0,83;26,52;Brazil;"Escola Nacional de Saude Publica";"Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
39;4700151729;"Ciencia e Saude Coletiva";journal;"14138123";0,566;Q2;37;396;1159;12516;971;1092;0,77;31,61;Brazil;"Associacao Brasileira de Pos-Graduacao em Saude Coletiva";"Health Policy (Q2); Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)"
40;4700152616;"Chungara";journal;"07177356, 07161182";0,565;Q1;18;41;145;2056;101;131;0,68;50,15;Chile;"Universidad Tarapacá. Sede Arica. Dpto de Antropología";"Anthropology (Q1); Archeology (Q1)"
41;5200153106;"Neotropical Ichthyology";journal;"16796225";0,559;Q2;29;68;218;3850;288;217;1,17;56,62;Brazil;"Sociedade Brasileira de Ictiologia";"Aquatic Science (Q2)"
42;38490;"Bragantia";journal;"00068705";0,555;Q2;25;61;179;1864;197;175;1,02;30,56;Brazil;"Instituto Agronomico";"Agricultural and Biological Sciences (miscellaneous) (Q2); Materials Science (miscellaneous) (Q2)"
43;4700152859;"Maderas: Ciencia y Tecnologia";journal;"07173644, 0718221X";0,546;Q1;18;45;191;1389;205;185;1,06;30,87;Chile;"Universidad del Bio-Bio";"Industrial and Manufacturing Engineering (Q1); Chemical Engineering (miscellaneous) (Q2); Forestry (Q2); Materials Science (miscellaneous) (Q2)"
44;4800156203;"Revista Brasileira de Engenharia Agricola e Ambiental";journal;"14154366";0,541;Q2;26;159;540;3540;485;540;0,75;22,26;Brazil;"Universidade Federal da Paraiba, Centro de Ciencias e Tecnologia, Departamento de Engenharia Agricola";"Agronomy and Crop Science (Q2); Environmental Engineering (Q2)"
45;4000148010;"Clinics";journal;"18075932";0,536;Q2;47;123;424;3788;611;399;1,34;30,80;Brazil;"Sao Paulo Universidade De Sao Paulo";"Medicine (miscellaneous) (Q2)"
46;13841;"Brazilian journal of biology = Revista brasleira de biologia";journal;"15196984";0,523;Q2;43;126;563;4240;493;504;0,87;33,65;Brazil;"International Institute of Ecology";"Agricultural and Biological Sciences (miscellaneous) (Q2)"
47;13900154710;"Latin American Journal of Solids and Structures";journal;"16797817, 16797825";0,522;Q2;21;126;416;4224;485;411;0,90;33,52;Brazil;"Universidade de Sao Paulo";"Aerospace Engineering (Q2); Automotive Engineering (Q2); Civil and Structural Engineering (Q2); Materials Science (miscellaneous) (Q2); Mechanical Engineering (Q2); Mechanics of Materials (Q2); Ocean Engineering (Q2)"
48;24247;"Anais Brasileiros de Dermatologia";journal;"03650596";0,520;Q3;31;276;686;4448;802;630;1,00;16,12;Brazil;"Sociedade Brasileira de Dermatologia";"Dermatology (Q3)"
49;13302;"Arquivos Brasileiros de Oftalmologia";journal;"00042749";0,518;Q2;22;101;333;2045;313;285;1,12;20,25;Brazil;"Belfort Editora";"Medicine (miscellaneous) (Q2); Ophthalmology (Q3)"
50;52142;"Pesquisa odontologica brasileira = Brazilian oral research";journal;"15177491";0,505;Q2;34;113;345;1173;406;333;1,13;10,38;Brazil;"Universidade de Sao Paulo";"Dentistry (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)"
51;21100422060;"Archives of endocrinology and metabolism";journal;"23593997, 23594292";0,505;Q3;38;101;335;3124;450;293;1,19;30,93;Brazil;"Segmento Farma Editores";"Endocrinology, Diabetes and Metabolism (Q3)"
52;21100227020;"Latin American Journal of Sedimentology and Basin Analysis";journal;"16697316, 18514979";0,502;Q2;12;6;27;385;33;25;1,13;64,17;Argentina;"Asociacion Argentina de Sedimentologia";"Geology (Q2); Paleontology (Q2); Stratigraphy (Q2)"
53;16900154709;"Revista Ciencia Agronomica";journal;"18066690";0,498;Q2;20;85;316;2237;268;316;0,73;26,32;Brazil;"Universidade Federal do Ceara";"Agronomy and Crop Science (Q2); Horticulture (Q2); Soil Science (Q2)"
54;23622;"Scientia Forestalis/Forest Sciences";journal;"14139324";0,495;Q2;22;67;253;2002;153;253;0,48;29,88;Brazil;"Universidade de Sao Paulo";"Forestry (Q2)"
55;21100197910;"Dental Press Journal of Orthodontics";journal;"21769451, 21776709";0,489;Q2;12;74;273;1841;226;241;0,74;24,88;Brazil;"Dental Press Editora Ltda";"Orthodontics (Q2); Oral Surgery (Q3)"
56;21100332432;"South American Journal of Herpetology";journal;"18089798, 1982355X";0,483;Q2;6;25;74;2214;76;74;0,69;88,56;Brazil;"Sociedade Brasileira de Herpetologia";"Animal Science and Zoology (Q2); Ecology, Evolution, Behavior and Systematics (Q3)"
57;5200152619;"Revista de Sociologia e Politica";journal;"01044478";0,482;Q2;9;30;102;1466;45;94;0,53;48,87;Brazil;"Grupo de Estudos Estado e Sociedade, Universidade Federal do Parana";"Sociology and Political Science (Q2)"
58;6300153121;"Journal of Theoretical and Applied Electronic Commerce Research";journal;"07181876";0,477;Q2;21;18;58;836;117;51;1,13;46,44;Chile;"Editorial Universidad de Talca";"Business, Management and Accounting (miscellaneous) (Q2); Computer Science Applications (Q2)"
59;24371;"Brazilian Dental Journal";journal;"01036440";0,476;Q2;41;111;350;3079;400;350;1,09;27,74;Brazil;"Associacao Brasileira de Divulgacao Cientifica";"Dentistry (miscellaneous) (Q2)"
60;19700174681;"Revista Paulista de Pediatria";journal;"01030582";0,472;Q2;12;55;256;1447;218;220;0,93;26,31;Brazil;"Sociedade De Pediatria De Sao Paulo";"Pediatrics, Perinatology and Child Health (Q2)"
61;72196;"Pesquisa Agropecuaria Brasileira";journal;"16783921, 0100204X";0,469;Q2;46;152;497;4188;423;493;0,71;27,55;Brazil;"Empresa Basileira de Pesquisa Agropecuaria";"Agronomy and Crop Science (Q2); Animal Science and Zoology (Q2)"
62;4500151502;"Food Science and Technology";journal;"01012061, 1678457X";0,467;Q2;27;131;300;4366;405;298;1,22;33,33;Brazil;"Sociedade Brasileira de Ciencia e Tecnologia de Alimentos";"Food Science (Q2); Biotechnology (Q3)"
63;19900191818;"Revista de la Union Matematica Argentina";journal;"00416932";0,466;Q2;6;23;44;371;28;44;0,69;16,13;Argentina;"Union Matematica Argentina";"Mathematics (miscellaneous) (Q2)"
64;19317;"Salud Publica de Mexico";journal;"16067916, 00363634";0,465;Q3;46;139;357;3178;292;280;0,88;22,86;Mexico;"Instituto Nacional de Salud";"Public Health, Environmental and Occupational Health (Q3)"
65;4300151410;"Revista Arvore";journal;"01006762";0,458;Q2;24;51;362;1300;199;360;0,37;25,49;Brazil;"Sociedade de Investigacoes Florestais, Universidade Federal de Vicosa";"Forestry (Q2)"
66;21100246535;"Lankesteriana";journal;"14093871";0,458;Q2;10;33;74;899;61;71;0,91;27,24;Costa Rica;"Universidad de Costa Rica";"Plant Science (Q2)"
67;82230;"Revista Ceres";journal;"21773491, 0034737X";0,458;Q2;10;80;323;2196;186;323;0,46;27,45;Brazil;"Universidade Federal De Vicosa";"Agricultural and Biological Sciences (miscellaneous) (Q2); Veterinary (miscellaneous) (Q2)"
68;12079;"Atmosfera";journal;"01876236";0,449;Q3;23;25;80;898;95;79;1,17;35,92;Mexico;"Universidad Nacional Autonoma de Mexico";"Atmospheric Science (Q3)"
69;4500151503;"Jornal Brasileiro de Pneumologia";journal;"18063756, 18063713";0,448;Q3;31;102;318;2309;301;202;1,39;22,64;Brazil;"Sociedade Brasileira de Pneumologia e Tisiologia";"Pulmonary and Respiratory Medicine (Q3)"
70;14224;"Arquivos de Neuro-Psiquiatria";journal;"0004282X";0,448;Q3;42;205;663;3862;557;487;1,06;18,84;Brazil;"Associacao Arquivos de Neuro-Psiquiatria Dr. Oswaldo Lange";"Biological Psychiatry (Q3); Neurology (clinical) (Q3)"
71;7000153201;"Estudios Atacamenos";journal;"07181043, 07160925";0,446;Q1;12;37;85;2750;49;79;0,71;74,32;Chile;"Universidad del Norte";"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1); Cultural Studies (Q1); History (Q1)"
72;4700152300;"Revista brasileira de otorrinolaringologia (English ed.)";journal;"18088694";0,443;Q3;25;196;410;2589;329;304;1,18;13,21;Brazil;"Elsevier Editora Ltda";"Otorhinolaryngology (Q3)"
73;21100199539;"Politica Criminal";journal;"07183399";0,442;Q2;5;29;68;2000;22;68;0,34;68,97;Chile;"Centro de Estudios de Derecho Penal de la Universidad de Talca";"Law (Q2); Sociology and Political Science (Q2)"
74;22190;"Genetics and Molecular Research";journal;"16765680";0,439;Q3;40;479;4544;14620;4224;4507;0,91;30,52;Brazil;"Fundacao de Pesquisas Cientificas de Ribeirao Preto";"Medicine (miscellaneous) (Q3); Genetics (Q4); Molecular Biology (Q4)"
75;4000152105;"Neotropical Entomology";journal;"16788052, 1519566X";0,437;Q2;39;85;254;3702;236;251;0,88;43,55;Brazil;"Springer New York LLC";"Insect Science (Q2)"
76;5400152628;"Brazilian Journal of Pharmacognosy";journal;"0102695X, 1981528X";0,433;Q2;35;114;305;4650;570;297;1,71;40,79;Brazil;"Sociedade Brasileira de Farmacognosia";"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2)"
77;19500157320;"Acta Scientiarum - Agronomy";journal;"16799275";0,431;Q2;20;60;181;1856;156;180;0,82;30,93;Brazil;"Universidade Estadual de Maringa";"Agronomy and Crop Science (Q2)"
78;4000151814;"Radiologia Brasileira";journal;"01003984";0,431;Q3;13;95;302;1789;351;177;2,63;18,83;Brazil;"Colegio Brasileiro de Radiologia";"Radiology, Nuclear Medicine and Imaging (Q3)"
79;19900191915;"Intersecciones en Antropologia";journal;"16662105, 1850373X";0,428;Q2;7;28;139;1158;52;134;0,32;41,36;Argentina;"Universidad Nacional del Centro de la Provincia de Buenos Aires";"Anthropology (Q2)"
80;11800154572;"Brazilian Journal of Oceanography";journal;"16798759, 1982436X";0,425;Q3;19;47;134;2188;115;119;1,01;46,55;Brazil;"Universidade de Sao Paulo";"Oceanography (Q3)"
81;19900192736;"Brazilian Journal of Probability and Statistics";journal;"01030752";0,423;Q3;11;42;110;962;71;106;0,73;22,90;Brazil;"Associacao Brasileira de Estatistica";"Statistics and Probability (Q3)"
82;4700152414;"Revista Mexicana de Biodiversidad";journal;"20078706, 18703453";0,421;Q3;18;132;475;6202;385;469;0,65;46,98;Mexico;"Universidad Nacional Autonoma de Mexico";"Ecology, Evolution, Behavior and Systematics (Q3)"
83;5400152643;"Ciencia Florestal";journal;"19805098, 01039954";0,420;Q2;16;120;320;4077;156;320;0,42;33,98;Brazil;"Centro de Pesquisas Florestais";"Forestry (Q2)"
84;18659;"Anais da Academia Brasileira de Ciencias";journal;"16782690, 00013765";0,418;Q1;49;257;576;11111;630;562;1,04;43,23;Brazil;"Academia Brasileira de Ciencias";"Multidisciplinary (Q1)"
85;12045;"Interface: Comunicacao, Saude, Educacao";journal;"14143283";0,417;Q2;15;125;360;3072;134;314;0,41;24,58;Brazil;"Nucleo de Comunicacao, Fundacao UNI";"Communication (Q2); Education (Q2); Health (social science) (Q2)"
86;4900153108;"Papeis Avulsos de Zoologia";journal;"18070205, 00311049";0,417;Q2;16;33;79;1605;66;79;0,68;48,64;Brazil;"Sao Paulo Universidade De Sao Paulo";"Animal Science and Zoology (Q2)"
87;26806;"Ciencias Marinas";journal;"01853880";0,414;Q3;24;18;64;869;67;64;1,02;48,28;Mexico;"Universidad Autonoma de Baja California";"Aquatic Science (Q3)"
88;4700152500;"Revista Brasileira de Fruticultura";journal;"01002945";0,410;Q2;22;80;390;2164;251;384;0,52;27,05;Brazil;"Sociedade Brasileira de Fruticultura";"Agronomy and Crop Science (Q2); Food Science (Q2); Plant Science (Q2)"
89;4300151406;"Revista Brasileira de Entomologia";journal;"00855626";0,406;Q2;25;51;173;1776;146;171;0,88;34,82;Brazil;"Sociedade Brasileira de Entomologia";"Insect Science (Q2)"
90;19700201507;"Zoologia";journal;"19844689, 19844670";0,405;Q2;25;39;190;1481;157;183;0,71;37,97;Brazil;"Sociedade Brasileira de Zoologia";"Animal Science and Zoology (Q2)"
91;19700188207;"Revista Mexicana de Analisis de la Conducta";journal;"20070802, 01854534";0,405;Q3;7;20;62;679;40;57;0,90;33,95;Mexico;"Universidad Nacional Autonoma de Mexico";"Applied Psychology (Q3); Experimental and Cognitive Psychology (Q3)"
92;13000154710;"Tropical Plant Pathology";journal;"19825676";0,401;Q2;16;63;174;2561;185;172;0,91;40,65;Brazil;"Springer International Publishing AG";"Agronomy and Crop Science (Q2); Plant Science (Q2)"
93;19600166402;"Coffee Science";journal;"18096875, 19843909";0,398;Q2;10;59;180;1681;97;178;0,42;28,49;Brazil;"Universidade Federal de Lavras";"Food Science (Q2); Plant Science (Q2); Soil Science (Q3)"
94;100147322;"Materials Research";journal;"15161439";0,398;Q2;32;235;744;7333;957;734;1,16;31,20;Brazil;"Universidade Federal de Sao Carlos";"Materials Science (miscellaneous) (Q2); Mechanical Engineering (Q2); Condensed Matter Physics (Q3); Mechanics of Materials (Q3)"
